question_id	question_rank	document_title	paragraph_index
106	1	Genome	16
106	2	Sony_Music_Entertainment	1
106	3	Dissolution_of_the_Soviet_Union	8
106	4	Macintosh	10
106	5	Hunting	14
109	1	Federalism	12
109	2	Mosaic	57
109	3	LaserDisc	20
109	4	Mosaic	0
109	5	Adolescence	61
112	1	Aspirated_consonant	6
112	2	Queen_Victoria	20
112	3	Beer	2
112	4	John,_King_of_England	0
112	5	John,_King_of_England	1
115	1	Hunting	34
115	2	Hydrogen	16
115	3	USB	12
115	4	Imamah_(Shia_doctrine)	7
115	5	USB	34
118	1	Professional_wrestling	47
118	2	Nigeria	31
118	3	Nigeria	0
118	4	Separation_of_church_and_state_in_the_United_States	25
118	5	Professional_wrestling	6
121	1	Zinc	31
121	2	Madonna_(entertainer)	44
121	3	Eton_College	20
121	4	Warsaw_Pact	20
121	5	Madonna_(entertainer)	41
124	1	Renewable_energy_commercialization	20
124	2	Estonia	10
124	3	Protestantism	43
124	4	New_York_City	53
124	5	Philadelphia	5
127	1	Capacitor	7
127	2	Geography_of_the_United_States	16
127	3	Capacitor	0
127	4	Muammar_Gaddafi	15
127	5	Cardinal_(Catholicism)	24
130	1	Dutch_language	27
130	2	Bird_migration	50
130	3	Gene	18
130	4	Dutch_language	7
130	5	Bird	22
133	1	Solar_energy	12
133	2	Late_Middle_Ages	34
133	3	Antenna_(radio)	45
133	4	Pesticide	6
133	5	United_States_Air_Force	47
136	1	Hunter-gatherer	23
136	2	Premier_League	17
136	3	2008_Sichuan_earthquake	39
136	4	Catalan_language	44
136	5	War_on_Terror	21
139	1	Athanasius_of_Alexandria	0
139	2	Palermo	10
139	3	Russian_language	28
139	4	Athanasius_of_Alexandria	10
139	5	Catalan_language	44
142	1	Comics	16
142	2	Adolescence	26
142	3	New_York_City	0
142	4	Capacitor	26
142	5	Armenia	48
145	1	Buddhism	114
145	2	Kathmandu	50
145	3	Sino-Tibetan_relations_during_the_Ming_dynasty	54
145	4	Kathmandu	16
145	5	Macintosh	7
148	1	Philadelphia	2
148	2	Somerset	23
148	3	Philadelphia	26
148	4	Philadelphia	50
148	5	Somerset	24
151	1	American_Idol	58
151	2	Roman_Republic	9
151	3	Roman_Republic	22
151	4	Crucifixion_of_Jesus	15
151	5	High-definition_television	18
154	1	Planck_constant	10
154	2	Southampton	26
154	3	Southampton	32
154	4	Southampton	29
154	5	Detroit	53
157	1	Jehovah%27s_Witnesses	24
157	2	Middle_Ages	83
157	3	Lancashire	2
157	4	Rajasthan	20
157	5	Samurai	31
160	1	Mosaic	40
160	2	History_of_India	41
160	3	Airport	22
160	4	Federalism	12
160	5	Israel	12
163	1	Department_store	39
163	2	Roman_Republic	72
163	3	Eritrea	10
163	4	Tennessee	15
163	5	Madrasa	5
166	1	Royal_Dutch_Shell	15
166	2	Classical_music	51
166	3	Seven_Years%27_War	13
166	4	Korean_War	65
166	5	New_York_City	62
169	1	Neolithic	6
169	2	Warsaw_Pact	14
169	3	Lancashire	16
169	4	Southampton	24
169	5	Muammar_Gaddafi	68
172	1	Gramophone_record	34
172	2	Florida	27
172	3	Marshall_Islands	33
172	4	Samurai	42
172	5	Kanye_West	46
175	1	Unicode	14
175	2	Vacuum	28
175	3	Szlachta	31
175	4	Chihuahua_(state)	2
175	5	Unicode	12
178	1	Chihuahua_(state)	22
178	2	Chinese_characters	23
178	3	New_Haven,_Connecticut	43
178	4	Westminster_Abbey	38
178	5	Chinese_characters	24
181	1	The_Bronx	4
181	2	Xbox_360	14
181	3	The_Bronx	6
181	4	Xbox_360	15
181	5	Madonna_(entertainer)	42
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Dissolution_of_the_Soviet_Union	0
184	3	Russian_Soviet_Federative_Socialist_Republic	11
184	4	Dissolution_of_the_Soviet_Union	64
184	5	Mandolin	7
187	1	Adolescence	74
187	2	Catalan_language	20
187	3	Catalan_language	32
187	4	Catalan_language	75
187	5	Catalan_language	71
190	1	Cotton	15
190	2	Cotton	20
190	3	Cotton	24
190	4	Kanye_West	13
190	5	Cotton	16
193	1	To_Kill_a_Mockingbird	14
193	2	To_Kill_a_Mockingbird	39
193	3	Identity_(social_science)	0
193	4	University_of_Kansas	10
193	5	Plymouth	58
196	1	Republic_of_the_Congo	13
196	2	Capital_punishment_in_the_United_States	2
196	3	Pesticide	6
196	4	Zhejiang	35
196	5	Capital_punishment_in_the_United_States	37
199	1	San_Diego	27
199	2	San_Diego	29
199	3	San_Diego	31
199	4	San_Diego	45
199	5	San_Diego	5
202	1	Time	24
202	2	Han_dynasty	32
202	3	Boston	36
202	4	East_India_Company	17
202	5	Boston	31
205	1	Westminster_Abbey	34
205	2	Tucson,_Arizona	0
205	3	Tucson,_Arizona	19
205	4	Roman_Republic	19
205	5	Tucson,_Arizona	14
208	1	Yale_University	10
208	2	Alexander_Graham_Bell	53
208	3	Chinese_characters	8
208	4	Space_Race	4
208	5	History_of_science	48
211	1	Sexual_orientation	49
211	2	Sexual_orientation	1
211	3	Philadelphia	57
211	4	Unicode	3
211	5	BeiDou_Navigation_Satellite_System	3
214	1	Brigham_Young_University	9
214	2	Central_Intelligence_Agency	4
214	3	Northwestern_University	35
214	4	Wood	67
214	5	University_of_Notre_Dame	8
217	1	Cubism	3
217	2	Nutrition	54
217	3	Cubism	30
217	4	Cubism	34
217	5	Atlantic_City,_New_Jersey	41
220	1	Westminster_Abbey	33
220	2	Old_English	0
220	3	List_of_numbered_streets_in_Manhattan	4
220	4	Norfolk_Island	15
220	5	Child_labour	20
223	1	Age_of_Enlightenment	26
223	2	Egypt	59
223	3	Web_browser	20
223	4	Gamal_Abdel_Nasser	27
223	5	Beer	24
226	1	Pub	51
226	2	Charleston,_South_Carolina	6
226	3	Sexual_orientation	6
226	4	Pub	76
226	5	Sexual_orientation	19
229	1	Crucifixion_of_Jesus	7
229	2	Melbourne	42
229	3	Oklahoma	27
229	4	New_Haven,_Connecticut	36
229	5	Modern_history	10
232	1	Age_of_Enlightenment	60
232	2	North_Carolina	20
232	3	Kathmandu	1
232	4	Printed_circuit_board	17
232	5	Kathmandu	53
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	List_of_numbered_streets_in_Manhattan	1
235	3	Zhejiang	11
235	4	List_of_numbered_streets_in_Manhattan	3
235	5	Alexander_Graham_Bell	37
238	1	Strasbourg	13
238	2	Labour_Party_(UK)	21
238	3	Comcast	13
238	4	Southampton	89
238	5	Tennessee	7
241	1	USB	26
241	2	USB	2
241	3	Molotov%E2%80%93Ribbentrop_Pact	29
241	4	Arsenal_F.C.	13
241	5	San_Diego	37
244	1	Department_store	22
244	2	Bird	49
244	3	British_Isles	25
244	4	North_Carolina	59
244	5	Brain	14
247	1	Catalan_language	29
247	2	Classical_music	9
247	3	Himachal_Pradesh	2
247	4	Alexander_Graham_Bell	37
247	5	Indigenous_peoples_of_the_Americas	0
250	1	Carnival	13
250	2	Somerset	36
250	3	Greece	91
250	4	Education	7
250	5	Elizabeth_II	32
253	1	Samurai	46
253	2	Samurai	18
253	3	Samurai	49
253	4	Samurai	1
253	5	Samurai	45
256	1	University	11
256	2	Communication	1
256	3	University	12
256	4	American_Idol	9
256	5	Digestion	15
259	1	Database	7
259	2	Dialect	43
259	3	Planck_constant	5
259	4	Lighting	19
259	5	Airport	19
262	1	Financial_crisis_of_2007%E2%80%9308	19
262	2	MP3	22
262	3	Film_speed	5
262	4	Film_speed	6
262	5	Norfolk_Island	7
265	1	Police	2
265	2	Age_of_Enlightenment	7
265	3	Age_of_Enlightenment	66
265	4	Dog	16
265	5	Age_of_Enlightenment	47
268	1	St._John%27s,_Newfoundland_and_Labrador	22
268	2	Incandescent_light_bulb	24
268	3	Florida	15
268	4	Separation_of_powers_under_the_United_States_Constitution	26
268	5	Florida	9
271	1	Gramophone_record	50
271	2	Plymouth	35
271	3	Mexico_City	0
271	4	Philosophy_of_space_and_time	5
271	5	Han_dynasty	60
274	1	Rajasthan	20
274	2	Plymouth	39
274	3	Nutrition	39
274	4	Buddhism	10
274	5	Samurai	31
277	1	Paris	58
277	2	Tucson,_Arizona	33
277	3	Database	30
277	4	Animal	13
277	5	Jews	7
280	1	Treaty	40
280	2	Near_East	52
280	3	Near_East	58
280	4	Treaty	41
280	5	Namibia	26
283	1	Detroit	38
283	2	Gene	50
283	3	Gene	43
283	4	Gene	49
283	5	Gene	46
286	1	East_India_Company	30
286	2	Dutch_Republic	15
286	3	East_India_Company	24
286	4	British_Empire	26
286	5	Cotton	5
289	1	Rajasthan	20
289	2	National_Archives_and_Records_Administration	17
289	3	Samurai	31
289	4	Nutrition	39
289	5	Nintendo_Entertainment_System	22
292	1	Raleigh,_North_Carolina	9
292	2	North_Carolina	4
292	3	North_Carolina	1
292	4	North_Carolina	0
292	5	Professional_wrestling	26
295	1	Antarctica	3
295	2	Tennessee	31
295	3	Gothic_architecture	0
295	4	Plymouth	41
295	5	University_of_Notre_Dame	35
298	1	Cyprus	20
298	2	Cyprus	16
298	3	Cyprus	40
298	4	Cyprus	2
298	5	Cyprus	46
